nodes,NLD
techs,demand_power
2025-09-01 00:00:00,23820.0
2025-09-01 01:00:00,22533.583
2025-09-01 02:00:00,21515.0
2025-09-01 03:00:00,20827.833
2025-09-01 04:00:00,20696.667
2025-09-01 05:00:00,21107.833
2025-09-01 06:00:00,23696.917
2025-09-01 07:00:00,26555.25
2025-09-01 08:00:00,27857.25
2025-09-01 09:00:00,28835.333
2025-09-01 10:00:00,28782.583
2025-09-01 11:00:00,27930.583
2025-09-01 12:00:00,27797.917
2025-09-01 13:00:00,27967.167
2025-09-01 14:00:00,27692.833
2025-09-01 15:00:00,27070.417
2025-09-01 16:00:00,27285.583
2025-09-01 17:00:00,27918.167
2025-09-01 18:00:00,28626.75
2025-09-01 19:00:00,29455.917
2025-09-01 20:00:00,30040.333
2025-09-01 21:00:00,30945.5
2025-09-01 22:00:00,28487.75
2025-09-01 23:00:00,25982.0
2025-09-02 00:00:00,24731.417
2025-09-02 01:00:00,23696.083
2025-09-02 02:00:00,22737.667
2025-09-02 03:00:00,22279.917
2025-09-02 04:00:00,22083.833
2025-09-02 05:00:00,22542.5
2025-09-02 06:00:00,24653.917
2025-09-02 07:00:00,27201.25
2025-09-02 08:00:00,28154.833
2025-09-02 09:00:00,28540.5
2025-09-02 10:00:00,28423.75
2025-09-02 11:00:00,28028.083
2025-09-02 12:00:00,27709.0
2025-09-02 13:00:00,28233.333
2025-09-02 14:00:00,28080.917
2025-09-02 15:00:00,27305.333
2025-09-02 16:00:00,27546.25
2025-09-02 17:00:00,28559.0
2025-09-02 18:00:00,29163.917
2025-09-02 19:00:00,30012.917
2025-09-02 20:00:00,31115.167
2025-09-02 21:00:00,32056.583
2025-09-02 22:00:00,29546.75
2025-09-02 23:00:00,27003.333
2025-09-03 00:00:00,25538.0
2025-09-03 01:00:00,24287.583
2025-09-03 02:00:00,23391.833
2025-09-03 03:00:00,22779.083
2025-09-03 04:00:00,22549.833
2025-09-03 05:00:00,22841.0
2025-09-03 06:00:00,24982.917
2025-09-03 07:00:00,27506.0
2025-09-03 08:00:00,28625.417
2025-09-03 09:00:00,28898.167
2025-09-03 10:00:00,28754.0
2025-09-03 11:00:00,29062.0
2025-09-03 12:00:00,29235.5
2025-09-03 13:00:00,29574.25
2025-09-03 14:00:00,29425.833
2025-09-03 15:00:00,28903.25
2025-09-03 16:00:00,29118.167
2025-09-03 17:00:00,29924.917
2025-09-03 18:00:00,30777.917
2025-09-03 19:00:00,31545.0
2025-09-03 20:00:00,32269.25
2025-09-03 21:00:00,32817.75
2025-09-03 22:00:00,30213.833
2025-09-03 23:00:00,27767.75
2025-09-04 00:00:00,26316.917
2025-09-04 01:00:00,24852.583
2025-09-04 02:00:00,23946.667
2025-09-04 03:00:00,23284.25
2025-09-04 04:00:00,23032.833
2025-09-04 05:00:00,23516.917
2025-09-04 06:00:00,25687.833
2025-09-04 07:00:00,28255.083
2025-09-04 08:00:00,29286.25
2025-09-04 09:00:00,29777.083
2025-09-04 10:00:00,29975.25
2025-09-04 11:00:00,29690.417
2025-09-04 12:00:00,29785.25
2025-09-04 13:00:00,30154.083
2025-09-04 14:00:00,30031.333
2025-09-04 15:00:00,29317.167
2025-09-04 16:00:00,29363.833
2025-09-04 17:00:00,30091.833
2025-09-04 18:00:00,30885.833
2025-09-04 19:00:00,31708.0
2025-09-04 20:00:00,32879.083
2025-09-04 21:00:00,33304.833
2025-09-04 22:00:00,30668.0
2025-09-04 23:00:00,28131.083
2025-09-05 00:00:00,26462.917
2025-09-05 01:00:00,25121.083
2025-09-05 02:00:00,23928.833
2025-09-05 03:00:00,23373.417
2025-09-05 04:00:00,23095.333
2025-09-05 05:00:00,23444.417
2025-09-05 06:00:00,25650.75
2025-09-05 07:00:00,28040.75
2025-09-05 08:00:00,29174.583
2025-09-05 09:00:00,29681.167
2025-09-05 10:00:00,29918.417
