nodes,NLD,NLD,NLD,NLD
techs,solar_pv,wind_generic,wind_offshore,wind_onshore
2015-01-01 00:00:00,0.0,0.3305,0.5175,0.298
2015-01-01 01:00:00,0.0,0.3171,0.519,0.282
2015-01-01 02:00:00,0.0,0.3273,0.5396,0.2904
2015-01-01 03:00:00,0.0,0.3449,0.546,0.3099
2015-01-01 04:00:00,0.0,0.3473,0.5385,0.314
2015-01-01 05:00:00,0.0,0.3686,0.5752,0.3326
2015-01-01 06:00:00,0.0,0.399,0.6057,0.3631
2015-01-01 07:00:00,0.0,0.4171,0.6178,0.3822
2015-01-01 08:00:00,0.02,0.4566,0.6291,0.4266
2015-01-01 09:00:00,0.09,0.4355,0.6144,0.4044
2015-01-01 10:00:00,0.143,0.4359,0.6506,0.3986
2015-01-01 11:00:00,0.139,0.4829,0.698,0.4455
2015-01-01 12:00:00,0.118,0.5108,0.7092,0.4762
2015-01-01 13:00:00,0.081,0.543,0.7335,0.5098
2015-01-01 14:00:00,0.039,0.58,0.7675,0.5474
2015-01-01 15:00:00,0.001,0.6187,0.8053,0.5863
2015-01-01 16:00:00,0.0,0.6548,0.838,0.6229
2015-01-01 17:00:00,0.0,0.6989,0.8735,0.6686
2015-01-01 18:00:00,0.0,0.7401,0.9027,0.7118
2015-01-01 19:00:00,0.0,0.7766,0.9263,0.7506
2015-01-01 20:00:00,0.0,0.8066,0.935,0.7842
2015-01-01 21:00:00,0.0,0.8266,0.9409,0.8067
2015-01-01 22:00:00,0.0,0.8426,0.9498,0.8239
2015-01-01 23:00:00,0.0,0.8556,0.9566,0.838
2015-01-02 00:00:00,0.0,0.8691,0.9646,0.8525
2015-01-02 01:00:00,0.0,0.8768,0.968,0.8609
2015-01-02 02:00:00,0.0,0.8784,0.9691,0.8627
2015-01-02 03:00:00,0.0,0.8807,0.9685,0.8654
2015-01-02 04:00:00,0.0,0.8635,0.9522,0.8481
2015-01-02 05:00:00,0.0,0.8272,0.928,0.8097
2015-01-02 06:00:00,0.0,0.7898,0.9153,0.768
2015-01-02 07:00:00,0.0,0.7718,0.8892,0.7514
2015-01-02 08:00:00,0.025,0.7379,0.8843,0.7125
2015-01-02 09:00:00,0.08,0.6929,0.8694,0.6622
2015-01-02 10:00:00,0.128,0.682,0.8558,0.6517
2015-01-02 11:00:00,0.18,0.7043,0.8545,0.6782
2015-01-02 12:00:00,0.28,0.7192,0.8686,0.6932
2015-01-02 13:00:00,0.253,0.7337,0.8813,0.708
2015-01-02 14:00:00,0.107,0.7356,0.8876,0.7091
2015-01-02 15:00:00,0.003,0.76,0.9079,0.7343
2015-01-02 16:00:00,0.0,0.7872,0.9221,0.7637
2015-01-02 17:00:00,0.0,0.7688,0.9077,0.7446
2015-01-02 18:00:00,0.0,0.7252,0.8668,0.7006
2015-01-02 19:00:00,0.0,0.6645,0.8089,0.6394
2015-01-02 20:00:00,0.0,0.6365,0.7875,0.6102
2015-01-02 21:00:00,0.0,0.6336,0.7932,0.6058
2015-01-02 22:00:00,0.0,0.6113,0.773,0.5831
2015-01-02 23:00:00,0.0,0.5609,0.7174,0.5337
2015-01-03 00:00:00,0.0,0.4836,0.6344,0.4574
2015-01-03 01:00:00,0.0,0.4388,0.5762,0.4149
2015-01-03 02:00:00,0.0,0.4246,0.5597,0.401
2015-01-03 03:00:00,0.0,0.4255,0.578,0.3989
2015-01-03 04:00:00,0.0,0.4443,0.6452,0.4094
2015-01-03 05:00:00,0.0,0.4733,0.7212,0.4302
2015-01-03 06:00:00,0.0,0.5044,0.7555,0.4607
2015-01-03 07:00:00,0.0,0.5155,0.7204,0.4798
2015-01-03 08:00:00,0.001,0.4391,0.5988,0.4113
