nodes,techs,costs,timesteps,cost_operation_variable
NLD,ccgt,monetary,2024-10-01 00:00:00,7.278227863846086e-08
NLD,ccgt,monetary,2024-10-01 01:00:00,7.595118353900352e-08
NLD,ccgt,monetary,2024-10-01 02:00:00,5.7999004550820645e-08
NLD,ccgt,monetary,2024-10-01 03:00:00,5.818619929252488e-08
NLD,ccgt,monetary,2024-10-01 04:00:00,5.8255461797785366e-08
NLD,ccgt,monetary,2024-10-01 05:00:00,5.83767632623731e-08
NLD,ccgt,monetary,2024-10-01 06:00:00,7.383924305842215e-08
NLD,ccgt,monetary,2024-10-01 07:00:00,7.425098328314293e-08
NLD,ccgt,monetary,2024-10-01 08:00:00,1.056798066634413e-07
NLD,ccgt,monetary,2024-10-01 09:00:00,5.6148957893214995e-08
NLD,ccgt,monetary,2024-10-01 10:00:00,5.8277259946958e-08
NLD,ccgt,monetary,2024-10-01 11:00:00,5.725328138136634e-08
NLD,ccgt,monetary,2024-10-01 12:00:00,5.649907353134845e-08
NLD,ccgt,monetary,2024-10-01 13:00:00,5.669083896485303e-08
NLD,ccgt,monetary,2024-10-01 14:00:00,5.6363234480243383e-08
NLD,ccgt,monetary,2024-10-01 15:00:00,5.607694367674621e-08
NLD,ccgt,monetary,2024-10-01 16:00:00,5.6330243226525896e-08
NLD,ccgt,monetary,2024-10-01 17:00:00,5.6585414656611014e-08
NLD,ccgt,monetary,2024-10-01 18:00:00,5.8051673277910525e-08
NLD,ccgt,monetary,2024-10-01 19:00:00,5.4982322010908275e-08
NLD,ccgt,monetary,2024-10-01 20:00:00,63.078602512607475
NLD,ccgt,monetary,2024-10-01 21:00:00,31.697708333785602
NLD,ccgt,monetary,2024-10-01 22:00:00,7.383919749231011e-08
NLD,ccgt,monetary,2024-10-01 23:00:00,7.238503582487356e-08
NLD,ccgt,monetary,2024-10-02 00:00:00,7.493244305154543e-08
NLD,ccgt,monetary,2024-10-02 01:00:00,5.79499314755811e-08
NLD,ccgt,monetary,2024-10-02 02:00:00,5.794892257408602e-08
NLD,ccgt,monetary,2024-10-02 03:00:00,5.7508784475362936e-08
NLD,ccgt,monetary,2024-10-02 04:00:00,5.790398121967537e-08
NLD,ccgt,monetary,2024-10-02 05:00:00,5.807221609018357e-08
NLD,ccgt,monetary,2024-10-02 06:00:00,5.7436662260161384e-08
NLD,ccgt,monetary,2024-10-02 07:00:00,7.158644287052037e-08
NLD,ccgt,monetary,2024-10-02 08:00:00,7.12688291416775e-08
NLD,ccgt,monetary,2024-10-02 09:00:00,5.779605696435081e-08
NLD,ccgt,monetary,2024-10-02 10:00:00,5.840651875204115e-08
NLD,ccgt,monetary,2024-10-02 11:00:00,5.7296223589300985e-08
NLD,ccgt,monetary,2024-10-02 12:00:00,5.6702215101507184e-08
NLD,ccgt,monetary,2024-10-02 13:00:00,5.6404105820831105e-08
NLD,ccgt,monetary,2024-10-02 14:00:00,5.657830017886855e-08
NLD,ccgt,monetary,2024-10-02 15:00:00,5.634496971714425e-08
NLD,ccgt,monetary,2024-10-02 16:00:00,5.6916527192156066e-08
NLD,ccgt,monetary,2024-10-02 17:00:00,5.763676891526451e-08
NLD,ccgt,monetary,2024-10-02 18:00:00,5.802919705425657e-08
NLD,ccgt,monetary,2024-10-02 19:00:00,7.485465492880562e-08
NLD,ccgt,monetary,2024-10-02 20:00:00,7.12991544516543e-08
NLD,ccgt,monetary,2024-10-02 21:00:00,7.354309846342156e-08
NLD,ccgt,monetary,2024-10-02 22:00:00,5.781709341990841e-08
NLD,ccgt,monetary,2024-10-02 23:00:00,5.802006839741144e-08
NLD,ccgt,monetary,2024-10-03 00:00:00,5.763451017632621e-08
NLD,ccgt,monetary,2024-10-03 01:00:00,5.7428414880832887e-08
NLD,ccgt,monetary,2024-10-03 02:00:00,5.744956424084159e-08
NLD,ccgt,monetary,2024-10-03 03:00:00,5.7598578954161654e-08
NLD,ccgt,monetary,2024-10-03 04:00:00,5.765368020990072e-08
NLD,ccgt,monetary,2024-10-03 05:00:00,5.8104435834722e-08
NLD,ccgt,monetary,2024-10-03 06:00:00,5.7913029644361954e-08
NLD,ccgt,monetary,2024-10-03 07:00:00,7.388892101176683e-08
NLD,ccgt,monetary,2024-10-03 08:00:00,7.252152166238244e-08
NLD,ccgt,monetary,2024-10-03 09:00:00,5.779433627983131e-08
NLD,ccgt,monetary,2024-10-03 10:00:00,5.680179959918832e-08
NLD,ccgt,monetary,2024-10-03 11:00:00,5.573630146492914e-08
NLD,ccgt,monetary,2024-10-03 12:00:00,5.583716040203594e-08
NLD,ccgt,monetary,2024-10-03 13:00:00,5.574040681895294e-08
NLD,ccgt,monetary,2024-10-03 14:00:00,5.570832929152341e-08
NLD,ccgt,monetary,2024-10-03 15:00:00,5.566015661796166e-08
NLD,ccgt,monetary,2024-10-03 16:00:00,5.595771887756433e-08
NLD,ccgt,monetary,2024-10-03 17:00:00,5.6307763445558876e-08
NLD,ccgt,monetary,2024-10-03 18:00:00,5.8322745267329865e-08
NLD,ccgt,monetary,2024-10-03 19:00:00,5.499937063547323e-08
NLD,ccgt,monetary,2024-10-03 20:00:00,1.1173428957475866e-07
NLD,ccgt,monetary,2024-10-03 21:00:00,7.885169595964079e-08
NLD,ccgt,monetary,2024-10-03 22:00:00,7.315298905769315e-08
NLD,ccgt,monetary,2024-10-03 23:00:00,7.199491317462932e-08
NLD,ccgt,monetary,2024-10-04 00:00:00,7.362625942910203e-08
NLD,ccgt,monetary,2024-10-04 01:00:00,7.828096513070354e-08
NLD,ccgt,monetary,2024-10-04 02:00:00,5.73067849969607e-08
