nodes,techs,carriers,timesteps,flow_in
NLD,curtailment,power,2024-10-01 00:00:00,8.444883365074478e-06
NLD,curtailment,power,2024-10-01 01:00:00,8.445739216260406e-06
NLD,curtailment,power,2024-10-01 02:00:00,8.88626968215036e-06
NLD,curtailment,power,2024-10-01 03:00:00,8.88628871120907e-06
NLD,curtailment,power,2024-10-01 04:00:00,8.88629310271706e-06
NLD,curtailment,power,2024-10-01 05:00:00,8.886283383619138e-06
NLD,curtailment,power,2024-10-01 06:00:00,8.445418026668122e-06
NLD,curtailment,power,2024-10-01 07:00:00,8.444463518488161e-06
NLD,curtailment,power,2024-10-01 08:00:00,8.045251731980674e-06
NLD,curtailment,power,2024-10-01 09:00:00,8.886234010464268e-06
NLD,curtailment,power,2024-10-01 10:00:00,8.886304528043457e-06
NLD,curtailment,power,2024-10-01 11:00:00,8.886308450479184e-06
NLD,curtailment,power,2024-10-01 12:00:00,8.886309924940362e-06
NLD,curtailment,power,2024-10-01 13:00:00,8.886310095840982e-06
NLD,curtailment,power,2024-10-01 14:00:00,8.886311471783311e-06
NLD,curtailment,power,2024-10-01 15:00:00,8.886312248040408e-06
NLD,curtailment,power,2024-10-01 16:00:00,8.886311441002161e-06
NLD,curtailment,power,2024-10-01 17:00:00,8.88631062059917e-06
NLD,curtailment,power,2024-10-01 18:00:00,8.886303301309031e-06
NLD,curtailment,power,2024-10-01 19:00:00,8.885892559721154e-06
NLD,curtailment,power,2024-10-01 20:00:00,2.154108742807219e-06
NLD,curtailment,power,2024-10-01 21:00:00,2.1541094962274944e-06
NLD,curtailment,power,2024-10-01 22:00:00,8.444856576616741e-06
NLD,curtailment,power,2024-10-01 23:00:00,8.444916198424232e-06
NLD,curtailment,power,2024-10-02 00:00:00,8.445313489990197e-06
NLD,curtailment,power,2024-10-02 01:00:00,8.886287472958249e-06
NLD,curtailment,power,2024-10-02 02:00:00,8.88629853860231e-06
NLD,curtailment,power,2024-10-02 03:00:00,8.886300609615809e-06
NLD,curtailment,power,2024-10-02 04:00:00,8.886297722102664e-06
NLD,curtailment,power,2024-10-02 05:00:00,8.886293861929632e-06
NLD,curtailment,power,2024-10-02 06:00:00,8.886153374828946e-06
NLD,curtailment,power,2024-10-02 07:00:00,8.444857304029663e-06
NLD,curtailment,power,2024-10-02 08:00:00,8.4448297131565e-06
NLD,curtailment,power,2024-10-02 09:00:00,8.88626970307893e-06
NLD,curtailment,power,2024-10-02 10:00:00,8.886307457673086e-06
NLD,curtailment,power,2024-10-02 11:00:00,8.886307750104964e-06
NLD,curtailment,power,2024-10-02 12:00:00,8.886309910050797e-06
NLD,curtailment,power,2024-10-02 13:00:00,8.886309806804826e-06
NLD,curtailment,power,2024-10-02 14:00:00,8.886310664075678e-06
NLD,curtailment,power,2024-10-02 15:00:00,8.886310129844165e-06
NLD,curtailment,power,2024-10-02 16:00:00,8.886309367459651e-06
NLD,curtailment,power,2024-10-02 17:00:00,8.886306531636929e-06
NLD,curtailment,power,2024-10-02 18:00:00,8.88630302621745e-06
NLD,curtailment,power,2024-10-02 19:00:00,8.44549527824652e-06
NLD,curtailment,power,2024-10-02 20:00:00,8.444820413756708e-06
NLD,curtailment,power,2024-10-02 21:00:00,8.44496936592068e-06
NLD,curtailment,power,2024-10-02 22:00:00,8.886292188655266e-06
NLD,curtailment,power,2024-10-02 23:00:00,8.886303964453918e-06
NLD,curtailment,power,2024-10-03 00:00:00,8.886307195323916e-06
NLD,curtailment,power,2024-10-03 01:00:00,8.8863079611241e-06
NLD,curtailment,power,2024-10-03 02:00:00,8.886308172213059e-06
NLD,curtailment,power,2024-10-03 03:00:00,8.886306741358926e-06
NLD,curtailment,power,2024-10-03 04:00:00,8.88630583613598e-06
NLD,curtailment,power,2024-10-03 05:00:00,8.886305396242633e-06
NLD,curtailment,power,2024-10-03 06:00:00,8.886295947681776e-06
NLD,curtailment,power,2024-10-03 07:00:00,8.445022533878563e-06
NLD,curtailment,power,2024-10-03 08:00:00,8.44489547573591e-06
NLD,curtailment,power,2024-10-03 09:00:00,8.886301435640821e-06
NLD,curtailment,power,2024-10-03 10:00:00,8.886310274677095e-06
NLD,curtailment,power,2024-10-03 11:00:00,8.886312207978054e-06
NLD,curtailment,power,2024-10-03 12:00:00,8.886313747408312e-06
NLD,curtailment,power,2024-10-03 13:00:00,8.886316671858924e-06
NLD,curtailment,power,2024-10-03 14:00:00,8.88631829495056e-06
NLD,curtailment,power,2024-10-03 15:00:00,8.886319243784236e-06
NLD,curtailment,power,2024-10-03 16:00:00,8.886312534259156e-06
NLD,curtailment,power,2024-10-03 17:00:00,8.886311204872252e-06
NLD,curtailment,power,2024-10-03 18:00:00,8.886305258044586e-06
NLD,curtailment,power,2024-10-03 19:00:00,8.886276305738322e-06
NLD,curtailment,power,2024-10-03 20:00:00,8.044132029326944e-06
NLD,curtailment,power,2024-10-03 21:00:00,8.444796743356867e-06
NLD,curtailment,power,2024-10-03 22:00:00,8.44487080962561e-06
NLD,curtailment,power,2024-10-03 23:00:00,8.444895283391506e-06
NLD,curtailment,power,2024-10-04 00:00:00,8.44491413570271e-06
NLD,curtailment,power,2024-10-04 01:00:00,8.442790992987254e-06
NLD,curtailment,power,2024-10-04 02:00:00,8.886190189140962e-06
NLD,curtailment,power,2024-10-04 03:00:00,8.8862196869011e-06
NLD,curtailment,power,2024-10-04 04:00:00,8.886259411212613e-06
NLD,curtailment,power,2024-10-04 05:00:00,8.886218397639e-06
NLD,curtailment,power,2024-10-04 06:00:00,8.444933709081219e-06
