nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-10-01 00:00:00,1.679923160081368e-05
NLD,curtailment,power,2024-10-01 01:00:00,1.6800391357534028e-05
NLD,curtailment,power,2024-10-01 02:00:00,1.767741217660601e-05
NLD,curtailment,power,2024-10-01 03:00:00,1.767743222189956e-05
NLD,curtailment,power,2024-10-01 04:00:00,1.7677437096328113e-05
NLD,curtailment,power,2024-10-01 05:00:00,1.7677444134101255e-05
NLD,curtailment,power,2024-10-01 06:00:00,1.767742626567143e-05
NLD,curtailment,power,2024-10-01 07:00:00,1.5281108179786545e-05
NLD,curtailment,power,2024-10-01 08:00:00,1.5280569727750114e-05
NLD,curtailment,power,2024-10-01 09:00:00,1.7677439309869963e-05
NLD,curtailment,power,2024-10-01 10:00:00,1.7677458091646444e-05
NLD,curtailment,power,2024-10-01 11:00:00,1.7677461885075123e-05
NLD,curtailment,power,2024-10-01 12:00:00,1.7677465357446385e-05
NLD,curtailment,power,2024-10-01 13:00:00,1.7677466591619305e-05
NLD,curtailment,power,2024-10-01 14:00:00,1.7677469366645174e-05
NLD,curtailment,power,2024-10-01 15:00:00,1.7677471909360778e-05
NLD,curtailment,power,2024-10-01 16:00:00,1.767746933867059e-05
NLD,curtailment,power,2024-10-01 17:00:00,1.767746655443941e-05
NLD,curtailment,power,2024-10-01 18:00:00,1.767745936099652e-05
NLD,curtailment,power,2024-10-01 19:00:00,1.7677363997946165e-05
NLD,curtailment,power,2024-10-01 20:00:00,4.285150498346672e-06
NLD,curtailment,power,2024-10-01 21:00:00,4.285150851288252e-06
NLD,curtailment,power,2024-10-01 22:00:00,1.5281266371689698e-05
NLD,curtailment,power,2024-10-01 23:00:00,1.7677389137480716e-05
NLD,curtailment,power,2024-10-02 00:00:00,1.7677408909876242e-05
NLD,curtailment,power,2024-10-02 01:00:00,1.7677430395839425e-05
NLD,curtailment,power,2024-10-02 02:00:00,1.767744359176251e-05
NLD,curtailment,power,2024-10-02 03:00:00,1.7677445319136398e-05
NLD,curtailment,power,2024-10-02 04:00:00,1.7677442961959444e-05
NLD,curtailment,power,2024-10-02 05:00:00,1.767743769335358e-05
NLD,curtailment,power,2024-10-02 06:00:00,1.7677402085010483e-05
