nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-10-01 00:00:00,1.4702474514050132e-06
NLD,ccgt,power,2024-10-01 01:00:00,1.5342613080872314e-06
NLD,ccgt,power,2024-10-01 02:00:00,1.1716160886973172e-06
NLD,ccgt,power,2024-10-01 03:00:00,1.1753975393066643e-06
NLD,ccgt,power,2024-10-01 04:00:00,1.1767966851391684e-06
NLD,ccgt,power,2024-10-01 05:00:00,1.1792470504272314e-06
NLD,ccgt,power,2024-10-01 06:00:00,1.4915987923322903e-06
NLD,ccgt,power,2024-10-01 07:00:00,1.499916201835828e-06
NLD,ccgt,power,2024-10-01 08:00:00,2.1347980486254373e-06
NLD,ccgt,power,2024-10-01 09:00:00,1.1342439916125786e-06
NLD,ccgt,power,2024-10-01 10:00:00,1.177237021356527e-06
NLD,ccgt,power,2024-10-01 11:00:00,1.1565520152737561e-06
NLD,ccgt,power,2024-10-01 12:00:00,1.141316546007581e-06
NLD,ccgt,power,2024-10-01 13:00:00,1.1451903274438315e-06
NLD,ccgt,power,2024-10-01 14:00:00,1.1385725123990624e-06
NLD,ccgt,power,2024-10-01 15:00:00,1.1327892594963432e-06
NLD,ccgt,power,2024-10-01 16:00:00,1.1379060684843598e-06
NLD,ccgt,power,2024-10-01 17:00:00,1.1430606906227738e-06
NLD,ccgt,power,2024-10-01 18:00:00,1.1726800298547148e-06
NLD,ccgt,power,2024-10-01 19:00:00,1.1106772187007355e-06
NLD,ccgt,power,2024-10-01 20:00:00,1274.227137666766
NLD,ccgt,power,2024-10-01 21:00:00,640.3134906592595
NLD,ccgt,power,2024-10-01 22:00:00,1.4915978718683899e-06
NLD,ccgt,power,2024-10-01 23:00:00,1.4622228986541043e-06
NLD,ccgt,power,2024-10-02 00:00:00,1.5136821144518062e-06
NLD,ccgt,power,2024-10-02 01:00:00,1.1706247819513174e-06
NLD,ccgt,power,2024-10-02 02:00:00,1.1706044015114686e-06
NLD,ccgt,power,2024-10-02 03:00:00,1.1617133372301709e-06
NLD,ccgt,power,2024-10-02 04:00:00,1.1696965581047903e-06
NLD,ccgt,power,2024-10-02 05:00:00,1.1730950074832552e-06
NLD,ccgt,power,2024-10-02 06:00:00,1.1602564234721325e-06
NLD,ccgt,power,2024-10-02 07:00:00,1.4460908225799249e-06
NLD,ccgt,power,2024-10-02 08:00:00,1.4396748270368047e-06
NLD,ccgt,power,2024-10-02 09:00:00,1.1675164207924655e-06
NLD,ccgt,power,2024-10-02 10:00:00,1.1798481298887177e-06
NLD,ccgt,power,2024-10-02 11:00:00,1.1574194746739657e-06
NLD,ccgt,power,2024-10-02 12:00:00,1.1454201325040124e-06
NLD,ccgt,power,2024-10-02 13:00:00,1.1393981389864506e-06
NLD,ccgt,power,2024-10-02 14:00:00,1.1429169737322805e-06
NLD,ccgt,power,2024-10-02 15:00:00,1.13820355278555e-06
NLD,ccgt,power,2024-10-02 16:00:00,1.1497493704857881e-06
NLD,ccgt,power,2024-10-02 17:00:00,1.1642987027903713e-06
NLD,ccgt,power,2024-10-02 18:00:00,1.172225996109652e-06
NLD,ccgt,power,2024-10-02 19:00:00,1.5121107458254419e-06
NLD,ccgt,power,2024-10-02 20:00:00,1.4402874172241486e-06
NLD,ccgt,power,2024-10-02 21:00:00,1.48561648669152e-06
NLD,ccgt,power,2024-10-02 22:00:00,1.167941370323433e-06
NLD,ccgt,power,2024-10-02 23:00:00,1.1720415915442498e-06
NLD,ccgt,power,2024-10-03 00:00:00,1.1642530748541546e-06
NLD,ccgt,power,2024-10-03 01:00:00,1.1600898212625653e-06
NLD,ccgt,power,2024-10-03 02:00:00,1.160517051533908e-06
NLD,ccgt,power,2024-10-03 03:00:00,1.1635272417420076e-06
NLD,ccgt,power,2024-10-03 04:00:00,1.1646403214962426e-06
NLD,ccgt,power,2024-10-03 05:00:00,1.173745866431047e-06
NLD,ccgt,power,2024-10-03 06:00:00,1.1698793419305173e-06
