nodes,techs,carriers,timesteps,flow_out_inc_eff
NLD,ccgt,power,2024-10-01 00:00:00,2.579381493693006e-06
NLD,ccgt,power,2024-10-01 01:00:00,2.6916865054161956e-06
NLD,ccgt,power,2024-10-01 02:00:00,2.0554668222759953e-06
NLD,ccgt,power,2024-10-01 03:00:00,2.062100946152043e-06
NLD,ccgt,power,2024-10-01 04:00:00,2.0645555879634534e-06
NLD,ccgt,power,2024-10-01 05:00:00,2.0688544744337393e-06
NLD,ccgt,power,2024-10-01 06:00:00,2.616839986547878e-06
NLD,ccgt,power,2024-10-01 07:00:00,2.6314319330453125e-06
NLD,ccgt,power,2024-10-01 08:00:00,3.745259734430592e-06
NLD,ccgt,power,2024-10-01 09:00:00,1.9899017396711904e-06
NLD,ccgt,power,2024-10-01 10:00:00,2.06532810764303e-06
NLD,ccgt,power,2024-10-01 11:00:00,2.0290386232872916e-06
NLD,ccgt,power,2024-10-01 12:00:00,2.0023097298378616e-06
NLD,ccgt,power,2024-10-01 13:00:00,2.0091058376207573e-06
NLD,ccgt,power,2024-10-01 14:00:00,1.997495635787829e-06
NLD,ccgt,power,2024-10-01 15:00:00,1.98734957806376e-06
NLD,ccgt,power,2024-10-01 16:00:00,1.9963264359374737e-06
NLD,ccgt,power,2024-10-01 17:00:00,2.005369632671533e-06
NLD,ccgt,power,2024-10-01 18:00:00,2.0573333857100263e-06
NLD,ccgt,power,2024-10-01 19:00:00,1.948556524036378e-06
NLD,ccgt,power,2024-10-01 20:00:00,2235.486206432923
NLD,ccgt,power,2024-10-01 21:00:00,1123.3570011565957
NLD,ccgt,power,2024-10-01 22:00:00,2.6168383716989297e-06
NLD,ccgt,power,2024-10-01 23:00:00,2.565303330972113e-06
NLD,ccgt,power,2024-10-02 00:00:00,2.6555826569329935e-06
NLD,ccgt,power,2024-10-02 01:00:00,2.0537276876338903e-06
NLD,ccgt,power,2024-10-02 02:00:00,2.0536919324762607e-06
NLD,ccgt,power,2024-10-02 03:00:00,2.0380935740880192e-06
NLD,ccgt,power,2024-10-02 04:00:00,2.0520992247452462e-06
NLD,ccgt,power,2024-10-02 05:00:00,2.05806141663729e-06
NLD,ccgt,power,2024-10-02 06:00:00,2.035537585038829e-06
NLD,ccgt,power,2024-10-02 07:00:00,2.5370014431226752e-06
NLD,ccgt,power,2024-10-02 08:00:00,2.5257453105908856e-06
NLD,ccgt,power,2024-10-02 09:00:00,2.048274422442922e-06
NLD,ccgt,power,2024-10-02 10:00:00,2.069908999804768e-06
NLD,ccgt,power,2024-10-02 11:00:00,2.0305604818841506e-06
NLD,ccgt,power,2024-10-02 12:00:00,2.0095090043930043e-06
NLD,ccgt,power,2024-10-02 13:00:00,1.9989441034850014e-06
NLD,ccgt,power,2024-10-02 14:00:00,2.005117497775931e-06
NLD,ccgt,power,2024-10-02 15:00:00,1.996848338220263e-06
NLD,ccgt,power,2024-10-02 16:00:00,2.017104158746997e-06
NLD,ccgt,power,2024-10-02 17:00:00,2.0426293031410024e-06
NLD,ccgt,power,2024-10-02 18:00:00,2.0565368352800914e-06
NLD,ccgt,power,2024-10-02 19:00:00,2.6528258698691964e-06
NLD,ccgt,power,2024-10-02 20:00:00,2.526820030217805e-06
NLD,ccgt,power,2024-10-02 21:00:00,2.606344713493895e-06
NLD,ccgt,power,2024-10-02 22:00:00,2.0490199479358476e-06
NLD,ccgt,power,2024-10-02 23:00:00,2.056213318498684e-06
NLD,ccgt,power,2024-10-03 00:00:00,2.042549254130096e-06
NLD,ccgt,power,2024-10-03 01:00:00,2.035245300460641e-06
NLD,ccgt,power,2024-10-03 02:00:00,2.0359948272524705e-06
NLD,ccgt,power,2024-10-03 03:00:00,2.0412758627052766e-06
NLD,ccgt,power,2024-10-03 04:00:00,2.0432286342039347e-06
NLD,ccgt,power,2024-10-03 05:00:00,2.0592032744404338e-06
NLD,ccgt,power,2024-10-03 06:00:00,2.0524198981237147e-06
NLD,ccgt,power,2024-10-03 07:00:00,2.618600557883359e-06
NLD,ccgt,power,2024-10-03 08:00:00,2.5701403469326927e-06
NLD,ccgt,power,2024-10-03 09:00:00,2.0482134419145695e-06
NLD,ccgt,power,2024-10-03 10:00:00,2.0130382482581683e-06
NLD,ccgt,power,2024-10-03 11:00:00,1.9752773232021584e-06
NLD,ccgt,power,2024-10-03 12:00:00,1.9788517328072644e-06
NLD,ccgt,power,2024-10-03 13:00:00,1.9754228156818133e-06
NLD,ccgt,power,2024-10-03 14:00:00,1.974285998009119e-06
NLD,ccgt,power,2024-10-03 15:00:00,1.9725787733246033e-06
NLD,ccgt,power,2024-10-03 16:00:00,1.9831242879745803e-06
NLD,ccgt,power,2024-10-03 17:00:00,1.9955297594374614e-06
NLD,ccgt,power,2024-10-03 18:00:00,2.0669400933598375e-06
NLD,ccgt,power,2024-10-03 19:00:00,1.9491607220296037e-06
NLD,ccgt,power,2024-10-03 20:00:00,3.959828740340776e-06
NLD,ccgt,power,2024-10-03 21:00:00,2.7944797704798283e-06
NLD,ccgt,power,2024-10-03 22:00:00,2.5925193565460886e-06
NLD,ccgt,power,2024-10-03 23:00:00,2.5514775046427525e-06
NLD,ccgt,power,2024-10-04 00:00:00,2.609291912453403e-06
NLD,ccgt,power,2024-10-04 01:00:00,2.7742532460348667e-06
NLD,ccgt,power,2024-10-04 02:00:00,2.0309347749122672e-06
NLD,ccgt,power,2024-10-04 03:00:00,2.0348159625030635e-06
NLD,ccgt,power,2024-10-04 04:00:00,2.049655577451259e-06
NLD,ccgt,power,2024-10-04 05:00:00,2.028200267286869e-06
NLD,ccgt,power,2024-10-04 06:00:00,2.5789819236131015e-06
NLD,ccgt,power,2024-10-04 07:00:00,2.6107174980089442e-06
NLD,ccgt,power,2024-10-04 08:00:00,3.7149854209951494e-06
NLD,ccgt,power,2024-10-04 09:00:00,2.0381117521647834e-06
NLD,ccgt,power,2024-10-04 10:00:00,2.062765921050752e-06
NLD,ccgt,power,2024-10-04 11:00:00,1.9954538688849387e-06
NLD,ccgt,power,2024-10-04 12:00:00,1.993970168089651e-06
NLD,ccgt,power,2024-10-04 13:00:00,1.9921907427977545e-06
NLD,ccgt,power,2024-10-04 14:00:00,1.985573543541688e-06
NLD,ccgt,power,2024-10-04 15:00:00,1.9870963656382036e-06
NLD,ccgt,power,2024-10-04 16:00:00,1.9813512814437203e-06
NLD,ccgt,power,2024-10-04 17:00:00,2.0183964929462637e-06
NLD,ccgt,power,2024-10-04 18:00:00,2.0279434376927654e-06
NLD,ccgt,power,2024-10-04 19:00:00,3.59070242113061e-06
NLD,ccgt,power,2024-10-04 20:00:00,1940.843319729373
NLD,ccgt,power,2024-10-04 21:00:00,1963.0830775401557
NLD,ccgt,power,2024-10-04 22:00:00,2.5885914043992797e-06
NLD,ccgt,power,2024-10-04 23:00:00,2.5528345222896103e-06
NLD,ccgt,power,2024-10-05 00:00:00,2.520016284152998e-06
NLD,ccgt,power,2024-10-05 01:00:00,2.5514706642008734e-06
NLD,ccgt,power,2024-10-05 02:00:00,2.5798640279122457e-06
NLD,ccgt,power,2024-10-05 03:00:00,2.608620971288858e-06
NLD,ccgt,power,2024-10-05 04:00:00,2.6282612870362667e-06
NLD,ccgt,power,2024-10-05 05:00:00,2.0514294319714465e-06
NLD,ccgt,power,2024-10-05 06:00:00,2.636430876332984e-06
NLD,ccgt,power,2024-10-05 07:00:00,2.5737524511799947e-06
NLD,ccgt,power,2024-10-05 08:00:00,2.592049803124717e-06
NLD,ccgt,power,2024-10-05 09:00:00,2.0615835704327248e-06
NLD,ccgt,power,2024-10-05 10:00:00,2.0113846650543775e-06
NLD,ccgt,power,2024-10-05 11:00:00,1.9761832672949362e-06
NLD,ccgt,power,2024-10-05 12:00:00,1.9741299976514303e-06
NLD,ccgt,power,2024-10-05 13:00:00,1.9716355330628396e-06
NLD,ccgt,power,2024-10-05 14:00:00,1.9709003788928743e-06
NLD,ccgt,power,2024-10-05 15:00:00,1.9772906429864845e-06
NLD,ccgt,power,2024-10-05 16:00:00,1.981610625361057e-06
NLD,ccgt,power,2024-10-05 17:00:00,1.9856526423749292e-06
NLD,ccgt,power,2024-10-05 18:00:00,2.004722076605632e-06
NLD,ccgt,power,2024-10-05 19:00:00,2.046174418259826e-06
NLD,ccgt,power,2024-10-05 20:00:00,2.0332649272222924e-06
NLD,ccgt,power,2024-10-05 21:00:00,2.052988702573071e-06
NLD,ccgt,power,2024-10-05 22:00:00,2.0544342000622516e-06
NLD,ccgt,power,2024-10-05 23:00:00,2.052934578173672e-06
NLD,ccgt,power,2024-10-06 00:00:00,2.0442154759872217e-06
NLD,ccgt,power,2024-10-06 01:00:00,2.040603957767742e-06
NLD,ccgt,power,2024-10-06 02:00:00,2.0403109944101376e-06
NLD,ccgt,power,2024-10-06 03:00:00,2.0353144560613025e-06
NLD,ccgt,power,2024-10-06 04:00:00,2.036855220120267e-06
NLD,ccgt,power,2024-10-06 05:00:00,2.0396165098378346e-06
NLD,ccgt,power,2024-10-06 06:00:00,2.0406419506239307e-06
NLD,ccgt,power,2024-10-06 07:00:00,2.042233723944433e-06
NLD,ccgt,power,2024-10-06 08:00:00,2.0375349380685934e-06
NLD,ccgt,power,2024-10-06 09:00:00,1.9997388056045437e-06
NLD,ccgt,power,2024-10-06 10:00:00,1.98113112735889e-06
NLD,ccgt,power,2024-10-06 11:00:00,1.9752862999305105e-06
NLD,ccgt,power,2024-10-06 12:00:00,1.979932934003052e-06
NLD,ccgt,power,2024-10-06 13:00:00,1.9745061420510036e-06
NLD,ccgt,power,2024-10-06 14:00:00,1.972399228373762e-06
NLD,ccgt,power,2024-10-06 15:00:00,1.9865605462789724e-06
NLD,ccgt,power,2024-10-06 16:00:00,1.989253923911669e-06
NLD,ccgt,power,2024-10-06 17:00:00,1.988252328104356e-06
NLD,ccgt,power,2024-10-06 18:00:00,2.0485073212832043e-06
NLD,ccgt,power,2024-10-06 19:00:00,2.0547664693523446e-06
NLD,ccgt,power,2024-10-06 20:00:00,2.5668297918822254e-06
NLD,ccgt,power,2024-10-06 21:00:00,2.591785972060745e-06
NLD,ccgt,power,2024-10-06 22:00:00,2.0451941687110633e-06
NLD,ccgt,power,2024-10-06 23:00:00,2.0385491197848985e-06
NLD,ccgt,power,2024-10-07 00:00:00,2.045932653441302e-06
NLD,ccgt,power,2024-10-07 01:00:00,2.042560516262473e-06
NLD,ccgt,power,2024-10-07 02:00:00,2.0425696941278275e-06
NLD,ccgt,power,2024-10-07 03:00:00,2.042156163054636e-06
NLD,ccgt,power,2024-10-07 04:00:00,2.0419688846825725e-06
NLD,ccgt,power,2024-10-07 05:00:00,2.046564269389396e-06
NLD,ccgt,power,2024-10-07 06:00:00,2.04606201008849e-06
NLD,ccgt,power,2024-10-07 07:00:00,2.6002378110430968e-06
NLD,ccgt,power,2024-10-07 08:00:00,2.563313861404217e-06
NLD,ccgt,power,2024-10-07 09:00:00,2.051426244583304e-06
NLD,ccgt,power,2024-10-07 10:00:00,2.063990158426799e-06
NLD,ccgt,power,2024-10-07 11:00:00,2.0355612295731676e-06
NLD,ccgt,power,2024-10-07 12:00:00,2.0261831972255442e-06
NLD,ccgt,power,2024-10-07 13:00:00,2.0283769126854623e-06
NLD,ccgt,power,2024-10-07 14:00:00,2.02735116412195e-06
NLD,ccgt,power,2024-10-07 15:00:00,2.0252863496236117e-06
NLD,ccgt,power,2024-10-07 16:00:00,2.0217863978286718e-06
NLD,ccgt,power,2024-10-07 17:00:00,2.0258397089122843e-06
NLD,ccgt,power,2024-10-07 18:00:00,2.066333890431233e-06
NLD,ccgt,power,2024-10-07 19:00:00,2.0493568104345584e-06
NLD,ccgt,power,2024-10-07 20:00:00,2.5821553674916383e-06
NLD,ccgt,power,2024-10-07 21:00:00,2.034095129109556e-06
NLD,ccgt,power,2024-10-07 22:00:00,2.057958497557629e-06
NLD,ccgt,power,2024-10-07 23:00:00,2.04684661901032e-06
NLD,ccgt,power,2024-10-08 00:00:00,2.0417235627523135e-06
NLD,ccgt,power,2024-10-08 01:00:00,2.033719054585291e-06
NLD,ccgt,power,2024-10-08 02:00:00,2.018327438851082e-06
NLD,ccgt,power,2024-10-08 03:00:00,2.0169482007256913e-06
NLD,ccgt,power,2024-10-08 04:00:00,2.0152828345155942e-06
NLD,ccgt,power,2024-10-08 05:00:00,1.9939130198652293e-06
NLD,ccgt,power,2024-10-08 06:00:00,2.030975918467768e-06
NLD,ccgt,power,2024-10-08 07:00:00,2.0451104117279662e-06
NLD,ccgt,power,2024-10-08 08:00:00,2.0321581328236463e-06
NLD,ccgt,power,2024-10-08 09:00:00,2.044830798246627e-06
