nodes,techs,timesteps,source_use
NLD,ccgt,2019-01-01 00:00:00,10789.230456537742
NLD,ccgt,2019-01-01 01:00:00,9811.969665512814
NLD,ccgt,2019-01-01 02:00:00,8763.801471235342
NLD,ccgt,2019-01-01 03:00:00,7370.651523794323
NLD,ccgt,2019-01-01 04:00:00,6917.864804912774
NLD,ccgt,2019-01-01 05:00:00,7168.933246805313
NLD,ccgt,2019-01-01 06:00:00,7621.077524622161
NLD,ccgt,2019-01-01 07:00:00,8657.71693935825
NLD,ccgt,2019-01-01 08:00:00,9568.46475325209
NLD,ccgt,2019-01-01 09:00:00,9046.011001027795
NLD,ccgt,2019-01-01 10:00:00,6304.444012281859
NLD,ccgt,2019-01-01 11:00:00,2175.093646943166
NLD,ccgt,2019-01-01 12:00:00,723.8146156081557
NLD,ccgt,2019-01-01 13:00:00,3173.104361671918
NLD,ccgt,2019-01-01 14:00:00,7810.896787685554
NLD,ccgt,2019-01-01 15:00:00,10267.654991983318
NLD,ccgt,2019-01-01 16:00:00,11384.258249160137
NLD,ccgt,2019-01-01 17:00:00,10703.412227879113
NLD,ccgt,2019-01-01 18:00:00,9996.953890972367
NLD,ccgt,2019-01-01 19:00:00,9229.338726413762
NLD,ccgt,2019-01-01 20:00:00,8573.961467173973
NLD,ccgt,2019-01-01 21:00:00,7749.062082480325
NLD,ccgt,2019-01-01 22:00:00,6414.524071381639
NLD,ccgt,2019-01-01 23:00:00,5573.3566087667705
NLD,ccgt,2019-01-02 00:00:00,4931.9253211143305
NLD,ccgt,2019-01-02 01:00:00,4797.853018397815
NLD,ccgt,2019-01-02 02:00:00,4876.338637838932
NLD,ccgt,2019-01-02 03:00:00,5492.782550623286
NLD,ccgt,2019-01-02 04:00:00,6885.260231630651
NLD,ccgt,2019-01-02 05:00:00,9307.757678089583
NLD,ccgt,2019-01-02 06:00:00,12518.626466814738
NLD,ccgt,2019-01-02 07:00:00,15665.469926593127
NLD,ccgt,2019-01-02 08:00:00,14406.091873515279
NLD,ccgt,2019-01-02 09:00:00,9264.425768663394
NLD,ccgt,2019-01-02 10:00:00,6620.936301464028
NLD,ccgt,2019-01-02 11:00:00,5607.354429984976
NLD,ccgt,2019-01-02 12:00:00,7177.126444956439
NLD,ccgt,2019-01-02 13:00:00,11653.15038914763
NLD,ccgt,2019-01-02 14:00:00,18056.552526704272
NLD,ccgt,2019-01-02 15:00:00,22689.396623628807
NLD,ccgt,2019-01-02 16:00:00,24576.969563507268
NLD,ccgt,2019-01-02 17:00:00,23710.8307949161
NLD,ccgt,2019-01-02 18:00:00,23267.784622751024
