timesteps,nodes,techs,sink_use_equals
2024-01-01 00:00:00,NLD,demand_power,21863.41666666667
2024-01-01 01:00:00,NLD,demand_power,21200.66666666667
2024-01-01 02:00:00,NLD,demand_power,20033.08333333333
2024-01-01 03:00:00,NLD,demand_power,18867.66666666667
2024-01-01 04:00:00,NLD,demand_power,18137.16666666667
2024-01-01 05:00:00,NLD,demand_power,17881.16666666667
2024-01-01 06:00:00,NLD,demand_power,18059.16666666667
2024-01-01 07:00:00,NLD,demand_power,18429.33333333333
2024-01-01 08:00:00,NLD,demand_power,18439.33333333333
2024-01-01 09:00:00,NLD,demand_power,18739.5
2024-01-01 10:00:00,NLD,demand_power,19864.83333333333
2024-01-01 11:00:00,NLD,demand_power,21004.58333333333
2024-01-01 12:00:00,NLD,demand_power,21181.83333333333
2024-01-01 13:00:00,NLD,demand_power,21358.83333333333
2024-01-01 14:00:00,NLD,demand_power,21436.66666666667
2024-01-01 15:00:00,NLD,demand_power,20749.25
2024-01-01 16:00:00,NLD,demand_power,20887.33333333333
2024-01-01 17:00:00,NLD,demand_power,22228.75
2024-01-01 18:00:00,NLD,demand_power,24787.91666666667
2024-01-01 19:00:00,NLD,demand_power,26178.91666666667
2024-01-01 20:00:00,NLD,demand_power,27187.33333333333
2024-01-01 21:00:00,NLD,demand_power,27455.08333333333
2024-01-01 22:00:00,NLD,demand_power,25878.75
2024-01-01 23:00:00,NLD,demand_power,23516.41666666667
2024-01-02 00:00:00,NLD,demand_power,21444.41666666667
2024-01-02 01:00:00,NLD,demand_power,19714.25
2024-01-02 02:00:00,NLD,demand_power,18741.66666666667
2024-01-02 03:00:00,NLD,demand_power,18329.41666666667
2024-01-02 04:00:00,NLD,demand_power,18326.16666666667
2024-01-02 05:00:00,NLD,demand_power,19013.16666666667
2024-01-02 06:00:00,NLD,demand_power,21676.25
2024-01-02 07:00:00,NLD,demand_power,25308.83333333333
2024-01-02 08:00:00,NLD,demand_power,28070.33333333333
2024-01-02 09:00:00,NLD,demand_power,29815.0
2024-01-02 10:00:00,NLD,demand_power,30574.25
2024-01-02 11:00:00,NLD,demand_power,30354.91666666667
2024-01-02 12:00:00,NLD,demand_power,30383.91666666667
2024-01-02 13:00:00,NLD,demand_power,30866.08333333333
2024-01-02 14:00:00,NLD,demand_power,30977.0
2024-01-02 15:00:00,NLD,demand_power,30559.08333333333
2024-01-02 16:00:00,NLD,demand_power,30437.08333333333
2024-01-02 17:00:00,NLD,demand_power,31033.0
2024-01-02 18:00:00,NLD,demand_power,32441.16666666667
2024-01-02 19:00:00,NLD,demand_power,32815.41666666667
2024-01-02 20:00:00,NLD,demand_power,33395.41666666667
2024-01-02 21:00:00,NLD,demand_power,32888.25
2024-01-02 22:00:00,NLD,demand_power,30019.16666666667
2024-01-02 23:00:00,NLD,demand_power,26954.16666666667
2024-01-03 00:00:00,NLD,demand_power,24783.33333333333
2024-01-03 01:00:00,NLD,demand_power,22885.08333333333
2024-01-03 02:00:00,NLD,demand_power,21645.75
2024-01-03 03:00:00,NLD,demand_power,21093.75
2024-01-03 04:00:00,NLD,demand_power,20938.25
2024-01-03 05:00:00,NLD,demand_power,21512.5
2024-01-03 06:00:00,NLD,demand_power,23729.25
2024-01-03 07:00:00,NLD,demand_power,26788.58333333333
2024-01-03 08:00:00,NLD,demand_power,29448.41666666667
2024-01-03 09:00:00,NLD,demand_power,31009.08333333333
2024-01-03 10:00:00,NLD,demand_power,31638.66666666667
2024-01-03 11:00:00,NLD,demand_power,31149.25
2024-01-03 12:00:00,NLD,demand_power,30680.16666666667
2024-01-03 13:00:00,NLD,demand_power,31102.08333333333
2024-01-03 14:00:00,NLD,demand_power,31047.16666666667
2024-01-03 15:00:00,NLD,demand_power,30381.83333333333
2024-01-03 16:00:00,NLD,demand_power,30184.58333333333
2024-01-03 17:00:00,NLD,demand_power,30578.33333333333
2024-01-03 18:00:00,NLD,demand_power,31860.58333333333
2024-01-03 19:00:00,NLD,demand_power,32367.0
2024-01-03 20:00:00,NLD,demand_power,32871.0
2024-01-03 21:00:00,NLD,demand_power,32380.91666666667
2024-01-03 22:00:00,NLD,demand_power,29852.91666666667
2024-01-03 23:00:00,NLD,demand_power,27054.0
2024-01-04 00:00:00,NLD,demand_power,24927.83333333333
2024-01-04 01:00:00,NLD,demand_power,23017.08333333333
2024-01-04 02:00:00,NLD,demand_power,21817.25
2024-01-04 03:00:00,NLD,demand_power,21257.5
2024-01-04 04:00:00,NLD,demand_power,21056.83333333333
2024-01-04 05:00:00,NLD,demand_power,21567.08333333333
2024-01-04 06:00:00,NLD,demand_power,23920.0
2024-01-04 07:00:00,NLD,demand_power,27105.0
2024-01-04 08:00:00,NLD,demand_power,29434.25
2024-01-04 09:00:00,NLD,demand_power,31065.41666666667
2024-01-04 10:00:00,NLD,demand_power,31603.83333333333
2024-01-04 11:00:00,NLD,demand_power,31566.66666666667
2024-01-04 12:00:00,NLD,demand_power,31562.41666666667
2024-01-04 13:00:00,NLD,demand_power,31921.58333333333
2024-01-04 14:00:00,NLD,demand_power,31786.58333333333
2024-01-04 15:00:00,NLD,demand_power,31078.58333333333
2024-01-04 16:00:00,NLD,demand_power,30851.16666666667
2024-01-04 17:00:00,NLD,demand_power,31051.41666666667
2024-01-04 18:00:00,NLD,demand_power,32079.58333333333
2024-01-04 19:00:00,NLD,demand_power,32525.16666666667
2024-01-04 20:00:00,NLD,demand_power,33023.58333333334
2024-01-04 21:00:00,NLD,demand_power,32481.33333333333
2024-01-04 22:00:00,NLD,demand_power,29822.0
2024-01-04 23:00:00,NLD,demand_power,27002.5
2024-01-05 00:00:00,NLD,demand_power,24882.75
2024-01-05 01:00:00,NLD,demand_power,22988.16666666667
2024-01-05 02:00:00,NLD,demand_power,21780.83333333333
2024-01-05 03:00:00,NLD,demand_power,21035.16666666667
2024-01-05 04:00:00,NLD,demand_power,20837.33333333333
2024-01-05 05:00:00,NLD,demand_power,21348.91666666667
2024-01-05 06:00:00,NLD,demand_power,23280.5
2024-01-05 07:00:00,NLD,demand_power,26289.41666666667
2024-01-05 08:00:00,NLD,demand_power,28490.0
2024-01-05 09:00:00,NLD,demand_power,30070.75
2024-01-05 10:00:00,NLD,demand_power,30321.5
2024-01-05 11:00:00,NLD,demand_power,30087.16666666667
2024-01-05 12:00:00,NLD,demand_power,30031.75
2024-01-05 13:00:00,NLD,demand_power,30070.58333333333
2024-01-05 14:00:00,NLD,demand_power,29797.58333333333
2024-01-05 15:00:00,NLD,demand_power,28900.08333333333
2024-01-05 16:00:00,NLD,demand_power,28612.16666666667
2024-01-05 17:00:00,NLD,demand_power,28891.16666666667
2024-01-05 18:00:00,NLD,demand_power,29732.58333333333
2024-01-05 19:00:00,NLD,demand_power,29878.25
2024-01-05 20:00:00,NLD,demand_power,30191.16666666667
2024-01-05 21:00:00,NLD,demand_power,29917.25
2024-01-05 22:00:00,NLD,demand_power,28011.16666666667
2024-01-05 23:00:00,NLD,demand_power,25902.41666666667
2024-01-06 00:00:00,NLD,demand_power,24205.25
2024-01-06 01:00:00,NLD,demand_power,22319.0
2024-01-06 02:00:00,NLD,demand_power,20907.66666666667
2024-01-06 03:00:00,NLD,demand_power,20054.91666666667
2024-01-06 04:00:00,NLD,demand_power,19647.91666666667
2024-01-06 05:00:00,NLD,demand_power,19586.08333333333
2024-01-06 06:00:00,NLD,demand_power,19933.33333333333
2024-01-06 07:00:00,NLD,demand_power,20609.41666666667
2024-01-06 08:00:00,NLD,demand_power,21343.16666666667
2024-01-06 09:00:00,NLD,demand_power,22753.16666666667
2024-01-06 10:00:00,NLD,demand_power,24271.0
2024-01-06 11:00:00,NLD,demand_power,24625.33333333333
2024-01-06 12:00:00,NLD,demand_power,24527.75
2024-01-06 13:00:00,NLD,demand_power,24652.25
2024-01-06 14:00:00,NLD,demand_power,24354.08333333333
2024-01-06 15:00:00,NLD,demand_power,23449.16666666667
2024-01-06 16:00:00,NLD,demand_power,23652.83333333333
2024-01-06 17:00:00,NLD,demand_power,24477.5
2024-01-06 18:00:00,NLD,demand_power,26566.16666666667
2024-01-06 19:00:00,NLD,demand_power,27611.5
2024-01-06 20:00:00,NLD,demand_power,28357.0
2024-01-06 21:00:00,NLD,demand_power,28743.33333333333
2024-01-06 22:00:00,NLD,demand_power,27496.08333333333
2024-01-06 23:00:00,NLD,demand_power,25613.58333333333
2024-01-07 00:00:00,NLD,demand_power,23742.0
2024-01-07 01:00:00,NLD,demand_power,21834.91666666667
2024-01-07 02:00:00,NLD,demand_power,20473.83333333333
2024-01-07 03:00:00,NLD,demand_power,19668.66666666667
2024-01-07 04:00:00,NLD,demand_power,19230.83333333333
2024-01-07 05:00:00,NLD,demand_power,19350.16666666667
2024-01-07 06:00:00,NLD,demand_power,19875.58333333333
2024-01-07 07:00:00,NLD,demand_power,20867.5
2024-01-07 08:00:00,NLD,demand_power,21762.08333333333
2024-01-07 09:00:00,NLD,demand_power,23142.58333333333
2024-01-07 10:00:00,NLD,demand_power,24423.25
2024-01-07 11:00:00,NLD,demand_power,24766.25
2024-01-07 12:00:00,NLD,demand_power,24766.58333333333
2024-01-07 13:00:00,NLD,demand_power,25237.41666666667
2024-01-07 14:00:00,NLD,demand_power,25835.58333333333
2024-01-07 15:00:00,NLD,demand_power,25261.33333333333
2024-01-07 16:00:00,NLD,demand_power,25184.0
2024-01-07 17:00:00,NLD,demand_power,26104.16666666667
2024-01-07 18:00:00,NLD,demand_power,28979.33333333333
2024-01-07 19:00:00,NLD,demand_power,30585.41666666667
2024-01-07 20:00:00,NLD,demand_power,31776.41666666667
2024-01-07 21:00:00,NLD,demand_power,31885.16666666667
2024-01-07 22:00:00,NLD,demand_power,29675.25
2024-01-07 23:00:00,NLD,demand_power,26742.75
2024-01-08 00:00:00,NLD,demand_power,24327.33333333333
2024-01-08 01:00:00,NLD,demand_power,22521.58333333333
2024-01-08 02:00:00,NLD,demand_power,21536.5
2024-01-08 03:00:00,NLD,demand_power,21210.25
2024-01-08 04:00:00,NLD,demand_power,21246.66666666667
2024-01-08 05:00:00,NLD,demand_power,22084.25
2024-01-08 06:00:00,NLD,demand_power,25299.33333333333
2024-01-08 07:00:00,NLD,demand_power,30479.5
2024-01-08 08:00:00,NLD,demand_power,34005.58333333334
2024-01-08 09:00:00,NLD,demand_power,34735.58333333334
2024-01-08 10:00:00,NLD,demand_power,34249.5
2024-01-08 11:00:00,NLD,demand_power,33462.25
2024-01-08 12:00:00,NLD,demand_power,32958.75
2024-01-08 13:00:00,NLD,demand_power,32769.91666666667
2024-01-08 14:00:00,NLD,demand_power,32824.33333333334
2024-01-08 15:00:00,NLD,demand_power,33041.33333333334
2024-01-08 16:00:00,NLD,demand_power,33391.75
2024-01-08 17:00:00,NLD,demand_power,34505.16666666667
2024-01-08 18:00:00,NLD,demand_power,36127.66666666667
2024-01-08 19:00:00,NLD,demand_power,37185.25
2024-01-08 20:00:00,NLD,demand_power,37863.66666666667
2024-01-08 21:00:00,NLD,demand_power,36887.25
2024-01-08 22:00:00,NLD,demand_power,33140.0
2024-01-08 23:00:00,NLD,demand_power,29485.5
2024-01-09 00:00:00,NLD,demand_power,27125.83333333333
2024-01-09 01:00:00,NLD,demand_power,25182.33333333333
2024-01-09 02:00:00,NLD,demand_power,23993.83333333333
2024-01-09 03:00:00,NLD,demand_power,23453.5
2024-01-09 04:00:00,NLD,demand_power,23446.33333333333
2024-01-09 05:00:00,NLD,demand_power,24125.66666666667
2024-01-09 06:00:00,NLD,demand_power,27074.91666666667
2024-01-09 07:00:00,NLD,demand_power,31845.66666666667
2024-01-09 08:00:00,NLD,demand_power,34838.58333333334
2024-01-09 09:00:00,NLD,demand_power,35525.08333333334
2024-01-09 10:00:00,NLD,demand_power,35592.41666666667
2024-01-09 11:00:00,NLD,demand_power,35016.91666666667
2024-01-09 12:00:00,NLD,demand_power,34752.33333333334
2024-01-09 13:00:00,NLD,demand_power,35010.33333333334
2024-01-09 14:00:00,NLD,demand_power,34995.08333333334
2024-01-09 15:00:00,NLD,demand_power,34769.5
2024-01-09 16:00:00,NLD,demand_power,34747.91666666667
2024-01-09 17:00:00,NLD,demand_power,35327.5
2024-01-09 18:00:00,NLD,demand_power,36656.08333333334
2024-01-09 19:00:00,NLD,demand_power,37538.75
2024-01-09 20:00:00,NLD,demand_power,37994.33333333334
2024-01-09 21:00:00,NLD,demand_power,36962.58333333334
2024-01-09 22:00:00,NLD,demand_power,33300.25
2024-01-09 23:00:00,NLD,demand_power,29565.16666666667
2024-01-10 00:00:00,NLD,demand_power,27237.08333333333
2024-01-10 01:00:00,NLD,demand_power,25283.41666666667
2024-01-10 02:00:00,NLD,demand_power,23947.16666666667
2024-01-10 03:00:00,NLD,demand_power,23495.58333333333
2024-01-10 04:00:00,NLD,demand_power,23481.58333333333
2024-01-10 05:00:00,NLD,demand_power,24164.75
2024-01-10 06:00:00,NLD,demand_power,27132.58333333333
2024-01-10 07:00:00,NLD,demand_power,31890.75
2024-01-10 08:00:00,NLD,demand_power,34768.58333333334
2024-01-10 09:00:00,NLD,demand_power,35647.25
2024-01-10 10:00:00,NLD,demand_power,36121.66666666667
2024-01-10 11:00:00,NLD,demand_power,36085.58333333334
2024-01-10 12:00:00,NLD,demand_power,35980.0
2024-01-10 13:00:00,NLD,demand_power,36189.58333333334
2024-01-10 14:00:00,NLD,demand_power,35849.83333333334
2024-01-10 15:00:00,NLD,demand_power,35321.91666666667
2024-01-10 16:00:00,NLD,demand_power,34986.75
2024-01-10 17:00:00,NLD,demand_power,35210.33333333334
2024-01-10 18:00:00,NLD,demand_power,36350.0
2024-01-10 19:00:00,NLD,demand_power,37335.33333333334
2024-01-10 20:00:00,NLD,demand_power,37836.0
2024-01-10 21:00:00,NLD,demand_power,36553.16666666667
2024-01-10 22:00:00,NLD,demand_power,33011.08333333334
2024-01-10 23:00:00,NLD,demand_power,29344.0
2024-01-11 00:00:00,NLD,demand_power,27036.5
2024-01-11 01:00:00,NLD,demand_power,25229.83333333333
2024-01-11 02:00:00,NLD,demand_power,24012.08333333333
2024-01-11 03:00:00,NLD,demand_power,23528.41666666667
2024-01-11 04:00:00,NLD,demand_power,23376.16666666667
2024-01-11 05:00:00,NLD,demand_power,24068.0
2024-01-11 06:00:00,NLD,demand_power,27046.75
2024-01-11 07:00:00,NLD,demand_power,31807.0
2024-01-11 08:00:00,NLD,demand_power,34741.66666666667
2024-01-11 09:00:00,NLD,demand_power,35413.0
2024-01-11 10:00:00,NLD,demand_power,35433.5
2024-01-11 11:00:00,NLD,demand_power,34485.08333333334
2024-01-11 12:00:00,NLD,demand_power,33816.83333333334
2024-01-11 13:00:00,NLD,demand_power,33824.75
2024-01-11 14:00:00,NLD,demand_power,33461.41666666667
2024-01-11 15:00:00,NLD,demand_power,33227.0
2024-01-11 16:00:00,NLD,demand_power,33368.91666666667
2024-01-11 17:00:00,NLD,demand_power,34228.25
2024-01-11 18:00:00,NLD,demand_power,36061.16666666667
2024-01-11 19:00:00,NLD,demand_power,37332.16666666667
2024-01-11 20:00:00,NLD,demand_power,38012.16666666667
2024-01-11 21:00:00,NLD,demand_power,36982.41666666667
2024-01-11 22:00:00,NLD,demand_power,33713.16666666667
2024-01-11 23:00:00,NLD,demand_power,29954.16666666667
2024-01-12 00:00:00,NLD,demand_power,27620.83333333333
2024-01-12 01:00:00,NLD,demand_power,25577.41666666667
2024-01-12 02:00:00,NLD,demand_power,24492.83333333333
2024-01-12 03:00:00,NLD,demand_power,24116.91666666667
2024-01-12 04:00:00,NLD,demand_power,23979.33333333333
2024-01-12 05:00:00,NLD,demand_power,24581.0
2024-01-12 06:00:00,NLD,demand_power,27667.5
2024-01-12 07:00:00,NLD,demand_power,32512.33333333333
2024-01-12 08:00:00,NLD,demand_power,35343.5
2024-01-12 09:00:00,NLD,demand_power,35959.91666666667
2024-01-12 10:00:00,NLD,demand_power,35676.25
2024-01-12 11:00:00,NLD,demand_power,34736.08333333334
2024-01-12 12:00:00,NLD,demand_power,34131.5
2024-01-12 13:00:00,NLD,demand_power,33574.83333333334
2024-01-12 14:00:00,NLD,demand_power,33023.83333333334
2024-01-12 15:00:00,NLD,demand_power,32566.83333333333
2024-01-12 16:00:00,NLD,demand_power,32893.33333333334
2024-01-12 17:00:00,NLD,demand_power,33433.66666666667
2024-01-12 18:00:00,NLD,demand_power,35212.33333333334
2024-01-12 19:00:00,NLD,demand_power,36197.83333333334
2024-01-12 20:00:00,NLD,demand_power,36396.75
2024-01-12 21:00:00,NLD,demand_power,35562.91666666667
2024-01-12 22:00:00,NLD,demand_power,32754.66666666667
2024-01-12 23:00:00,NLD,demand_power,29758.58333333333
2024-01-13 00:00:00,NLD,demand_power,27688.5
2024-01-13 01:00:00,NLD,demand_power,25671.58333333333
2024-01-13 02:00:00,NLD,demand_power,24387.75
2024-01-13 03:00:00,NLD,demand_power,23347.08333333333
2024-01-13 04:00:00,NLD,demand_power,22898.66666666667
2024-01-13 05:00:00,NLD,demand_power,22777.0
2024-01-13 06:00:00,NLD,demand_power,23374.83333333333
2024-01-13 07:00:00,NLD,demand_power,24932.0
2024-01-13 08:00:00,NLD,demand_power,26703.0
2024-01-13 09:00:00,NLD,demand_power,28945.66666666667
2024-01-13 10:00:00,NLD,demand_power,30264.25
2024-01-13 11:00:00,NLD,demand_power,30305.41666666667
2024-01-13 12:00:00,NLD,demand_power,29865.41666666667
2024-01-13 13:00:00,NLD,demand_power,29957.33333333333
2024-01-13 14:00:00,NLD,demand_power,29988.58333333333
2024-01-13 15:00:00,NLD,demand_power,29373.16666666667
2024-01-13 16:00:00,NLD,demand_power,29032.33333333333
2024-01-13 17:00:00,NLD,demand_power,29295.83333333333
2024-01-13 18:00:00,NLD,demand_power,30894.91666666667
2024-01-13 19:00:00,NLD,demand_power,31708.25
2024-01-13 20:00:00,NLD,demand_power,32043.83333333333
2024-01-13 21:00:00,NLD,demand_power,31689.25
2024-01-13 22:00:00,NLD,demand_power,29672.5
2024-01-13 23:00:00,NLD,demand_power,27366.58333333333
2024-01-14 00:00:00,NLD,demand_power,25229.0
2024-01-14 01:00:00,NLD,demand_power,23175.41666666667
2024-01-14 02:00:00,NLD,demand_power,21734.75
2024-01-14 03:00:00,NLD,demand_power,20882.83333333333
2024-01-14 04:00:00,NLD,demand_power,20353.08333333333
2024-01-14 05:00:00,NLD,demand_power,20384.41666666667
2024-01-14 06:00:00,NLD,demand_power,20707.58333333333
2024-01-14 07:00:00,NLD,demand_power,21563.91666666667
2024-01-14 08:00:00,NLD,demand_power,22434.41666666667
2024-01-14 09:00:00,NLD,demand_power,24259.66666666667
2024-01-14 10:00:00,NLD,demand_power,26148.33333333333
2024-01-14 11:00:00,NLD,demand_power,27095.08333333333
2024-01-14 12:00:00,NLD,demand_power,27445.75
2024-01-14 13:00:00,NLD,demand_power,28110.0
2024-01-14 14:00:00,NLD,demand_power,28434.41666666667
2024-01-14 15:00:00,NLD,demand_power,27339.66666666667
2024-01-14 16:00:00,NLD,demand_power,26740.75
2024-01-14 17:00:00,NLD,demand_power,26986.33333333333
2024-01-14 18:00:00,NLD,demand_power,28951.16666666667
2024-01-14 19:00:00,NLD,demand_power,30448.91666666667
2024-01-14 20:00:00,NLD,demand_power,31294.83333333333
2024-01-14 21:00:00,NLD,demand_power,30807.83333333333
2024-01-14 22:00:00,NLD,demand_power,28912.75
2024-01-14 23:00:00,NLD,demand_power,26395.91666666667
2024-01-15 00:00:00,NLD,demand_power,24076.5
2024-01-15 01:00:00,NLD,demand_power,22619.5
2024-01-15 02:00:00,NLD,demand_power,21716.75
2024-01-15 03:00:00,NLD,demand_power,21286.16666666667
2024-01-15 04:00:00,NLD,demand_power,21379.91666666667
2024-01-15 05:00:00,NLD,demand_power,22308.25
2024-01-15 06:00:00,NLD,demand_power,25660.66666666667
2024-01-15 07:00:00,NLD,demand_power,30415.16666666667
2024-01-15 08:00:00,NLD,demand_power,33394.25
2024-01-15 09:00:00,NLD,demand_power,34060.33333333334
2024-01-15 10:00:00,NLD,demand_power,34429.41666666667
2024-01-15 11:00:00,NLD,demand_power,34237.91666666667
2024-01-15 12:00:00,NLD,demand_power,34254.75
2024-01-15 13:00:00,NLD,demand_power,34367.91666666667
2024-01-15 14:00:00,NLD,demand_power,33979.91666666667
2024-01-15 15:00:00,NLD,demand_power,33208.0
2024-01-15 16:00:00,NLD,demand_power,32794.58333333334
2024-01-15 17:00:00,NLD,demand_power,32993.41666666667
2024-01-15 18:00:00,NLD,demand_power,34156.5
2024-01-15 19:00:00,NLD,demand_power,35173.83333333334
2024-01-15 20:00:00,NLD,demand_power,35621.16666666667
2024-01-15 21:00:00,NLD,demand_power,34589.16666666667
2024-01-15 22:00:00,NLD,demand_power,31224.41666666667
2024-01-15 23:00:00,NLD,demand_power,27773.5
2024-01-16 00:00:00,NLD,demand_power,25866.75
2024-01-16 01:00:00,NLD,demand_power,24183.0
2024-01-16 02:00:00,NLD,demand_power,23156.91666666667
2024-01-16 03:00:00,NLD,demand_power,22652.83333333333
2024-01-16 04:00:00,NLD,demand_power,22607.91666666667
2024-01-16 05:00:00,NLD,demand_power,23387.83333333333
2024-01-16 06:00:00,NLD,demand_power,26187.75
2024-01-16 07:00:00,NLD,demand_power,30751.41666666667
2024-01-16 08:00:00,NLD,demand_power,33161.91666666667
2024-01-16 09:00:00,NLD,demand_power,33416.66666666667
2024-01-16 10:00:00,NLD,demand_power,33277.91666666667
2024-01-16 11:00:00,NLD,demand_power,33117.91666666667
2024-01-16 12:00:00,NLD,demand_power,33160.0
2024-01-16 13:00:00,NLD,demand_power,33224.41666666667
2024-01-16 14:00:00,NLD,demand_power,33017.41666666667
2024-01-16 15:00:00,NLD,demand_power,32687.58333333333
2024-01-16 16:00:00,NLD,demand_power,32320.83333333333
2024-01-16 17:00:00,NLD,demand_power,32636.75
2024-01-16 18:00:00,NLD,demand_power,33962.5
2024-01-16 19:00:00,NLD,demand_power,35049.66666666667
2024-01-16 20:00:00,NLD,demand_power,35596.91666666667
2024-01-16 21:00:00,NLD,demand_power,34409.75
2024-01-16 22:00:00,NLD,demand_power,30746.25
2024-01-16 23:00:00,NLD,demand_power,27505.16666666667
2024-01-17 00:00:00,NLD,demand_power,25838.33333333333
2024-01-17 01:00:00,NLD,demand_power,24291.0
2024-01-17 02:00:00,NLD,demand_power,23150.41666666667
2024-01-17 03:00:00,NLD,demand_power,22742.33333333333
2024-01-17 04:00:00,NLD,demand_power,22672.41666666667
2024-01-17 05:00:00,NLD,demand_power,23253.5
2024-01-17 06:00:00,NLD,demand_power,26032.83333333333
2024-01-17 07:00:00,NLD,demand_power,30245.66666666667
2024-01-17 08:00:00,NLD,demand_power,32538.25
2024-01-17 09:00:00,NLD,demand_power,32880.0
