nodes,techs,costs,timesteps,cost_operation_variable
NLD,ccgt,monetary,2024-01-01 00:00:00,6.256277711096992e-06
NLD,ccgt,monetary,2024-01-01 01:00:00,6.25626666515203e-06
NLD,ccgt,monetary,2024-01-01 02:00:00,6.256154283385796e-06
NLD,ccgt,monetary,2024-01-01 03:00:00,6.256114731010523e-06
NLD,ccgt,monetary,2024-01-01 04:00:00,6.256120364561547e-06
NLD,ccgt,monetary,2024-01-01 05:00:00,6.256124265093735e-06
NLD,ccgt,monetary,2024-01-01 06:00:00,6.256137440060008e-06
NLD,ccgt,monetary,2024-01-01 07:00:00,6.256968903724843e-06
NLD,ccgt,monetary,2024-01-01 08:00:00,6.255574974713447e-06
NLD,ccgt,monetary,2024-01-01 09:00:00,5.29735271899588e-06
NLD,ccgt,monetary,2024-01-01 10:00:00,5.297353944381627e-06
NLD,ccgt,monetary,2024-01-01 11:00:00,5.297354038773585e-06
NLD,ccgt,monetary,2024-01-01 12:00:00,5.297350114384426e-06
NLD,ccgt,monetary,2024-01-01 13:00:00,5.29735015631629e-06
NLD,ccgt,monetary,2024-01-01 14:00:00,5.297353937703054e-06
NLD,ccgt,monetary,2024-01-01 15:00:00,5.297352589367124e-06
NLD,ccgt,monetary,2024-01-01 16:00:00,6.256303783292998e-06
NLD,ccgt,monetary,2024-01-01 17:00:00,6.25629432979626e-06
NLD,ccgt,monetary,2024-01-01 18:00:00,6.2561873726302745e-06
NLD,ccgt,monetary,2024-01-01 19:00:00,6.256107026022575e-06
NLD,ccgt,monetary,2024-01-01 20:00:00,6.256185600877315e-06
NLD,ccgt,monetary,2024-01-01 21:00:00,6.257429097739461e-06
NLD,ccgt,monetary,2024-01-01 22:00:00,7.637532438122375e-06
NLD,ccgt,monetary,2024-01-01 23:00:00,5.297352452595399e-06
NLD,ccgt,monetary,2024-01-02 00:00:00,5.297353844109173e-06
NLD,ccgt,monetary,2024-01-02 01:00:00,5.297354164501491e-06
NLD,ccgt,monetary,2024-01-02 02:00:00,5.297354145686453e-06
NLD,ccgt,monetary,2024-01-02 03:00:00,5.297354136149863e-06
NLD,ccgt,monetary,2024-01-02 04:00:00,5.297354133783005e-06
NLD,ccgt,monetary,2024-01-02 05:00:00,5.297354133178318e-06
NLD,ccgt,monetary,2024-01-02 06:00:00,5.297354133013592e-06
NLD,ccgt,monetary,2024-01-02 07:00:00,5.2973541329796626e-06
NLD,ccgt,monetary,2024-01-02 08:00:00,5.29735413301739e-06
