nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-01-01 00:00:00,0.0006944435304643004
NLD,curtailment,power,2024-01-01 01:00:00,0.0006944376435079613
NLD,curtailment,power,2024-01-01 02:00:00,0.0006945048124791242
NLD,curtailment,power,2024-01-01 03:00:00,0.000694559915434656
NLD,curtailment,power,2024-01-01 04:00:00,0.0006945561473958306
NLD,curtailment,power,2024-01-01 05:00:00,0.0006945497828416691
NLD,curtailment,power,2024-01-01 06:00:00,0.0006945259653576286
NLD,curtailment,power,2024-01-01 07:00:00,0.0006929749414388287
NLD,curtailment,power,2024-01-01 08:00:00,0.0006955231074106671
NLD,curtailment,power,2024-01-01 09:00:00,3151.606261605978
NLD,curtailment,power,2024-01-01 10:00:00,8714.579559145019
NLD,curtailment,power,2024-01-01 11:00:00,13603.736350148049
NLD,curtailment,power,2024-01-01 12:00:00,16787.4029081443
NLD,curtailment,power,2024-01-01 13:00:00,16612.520055144334
NLD,curtailment,power,2024-01-01 14:00:00,12456.033231810989
NLD,curtailment,power,2024-01-01 15:00:00,5854.441720180037
NLD,curtailment,power,2024-01-01 16:00:00,0.000694046563083528
NLD,curtailment,power,2024-01-01 17:00:00,0.0006942684474953165
NLD,curtailment,power,2024-01-01 18:00:00,0.0006944604278710242
NLD,curtailment,power,2024-01-01 19:00:00,0.0006945684326141732
NLD,curtailment,power,2024-01-01 20:00:00,0.0006944739969959035
NLD,curtailment,power,2024-01-01 21:00:00,0.0006932911168411882
NLD,curtailment,power,2024-01-01 22:00:00,0.00034770168213701935
NLD,curtailment,power,2024-01-01 23:00:00,708.8358360708146
NLD,curtailment,power,2024-01-02 00:00:00,2248.0893548408976
NLD,curtailment,power,2024-01-02 01:00:00,3947.204046479367
NLD,curtailment,power,2024-01-02 02:00:00,4992.383097813247
NLD,curtailment,power,2024-01-02 03:00:00,5737.92393281217
NLD,curtailment,power,2024-01-02 04:00:00,6523.586510811155
NLD,curtailment,power,2024-01-02 05:00:00,6497.638579810549
