nodes,carriers,timesteps,shadow_price_system_balance
NLD,power,2024-01-01 00:00:00,0.007627275458420388
NLD,power,2024-01-01 01:00:00,0.007627275341634387
NLD,power,2024-01-01 02:00:00,0.007627273026062684
NLD,power,2024-01-01 03:00:00,0.007627271782821999
NLD,power,2024-01-01 04:00:00,0.007627271900720016
NLD,power,2024-01-01 05:00:00,0.007627272038627755
NLD,power,2024-01-01 06:00:00,0.007627272561362701
NLD,power,2024-01-01 07:00:00,0.007627308220338695
NLD,power,2024-01-01 08:00:00,0.007627242620266834
NLD,power,2024-01-01 09:00:00,0.0
NLD,power,2024-01-01 10:00:00,0.0
NLD,power,2024-01-01 11:00:00,0.0
NLD,power,2024-01-01 12:00:00,-1.8381486118807925e-10
NLD,power,2024-01-01 13:00:00,-1.8231419169608154e-10
NLD,power,2024-01-01 14:00:00,0.0
NLD,power,2024-01-01 15:00:00,0.0
NLD,power,2024-01-01 16:00:00,0.007627279796330141
NLD,power,2024-01-01 17:00:00,0.007627279595813386
NLD,power,2024-01-01 18:00:00,0.007627274071508936
NLD,power,2024-01-01 19:00:00,0.007627271621615629
NLD,power,2024-01-01 20:00:00,0.0076272738764530425
NLD,power,2024-01-01 21:00:00,0.007627304908407703
NLD,power,2024-01-01 22:00:00,0.015254507120343761
NLD,power,2024-01-01 23:00:00,0.0
NLD,power,2024-01-02 00:00:00,0.0
NLD,power,2024-01-02 01:00:00,0.0
NLD,power,2024-01-02 02:00:00,0.0
NLD,power,2024-01-02 03:00:00,0.0
NLD,power,2024-01-02 04:00:00,0.0
NLD,power,2024-01-02 05:00:00,0.0
NLD,power,2024-01-02 06:00:00,0.0
NLD,power,2024-01-02 07:00:00,0.0
NLD,power,2024-01-02 08:00:00,0.0
NLD,power,2024-01-02 09:00:00,0.0
NLD,power,2024-01-02 10:00:00,0.0
NLD,power,2024-01-02 11:00:00,0.0
NLD,power,2024-01-02 12:00:00,0.0
NLD,power,2024-01-02 13:00:00,0.0
NLD,power,2024-01-02 14:00:00,0.0
NLD,power,2024-01-02 15:00:00,0.0
NLD,power,2024-01-02 16:00:00,0.007627224848954391
NLD,power,2024-01-02 17:00:00,5.119407365631397e-05
NLD,power,2024-01-02 18:00:00,0.015203388138534139
NLD,power,2024-01-02 19:00:00,0.00762727776172155
NLD,power,2024-01-02 20:00:00,0.007627288205345533
NLD,power,2024-01-02 21:00:00,0.03050902543439843
NLD,power,2024-01-02 22:00:00,9.553295253516555e-09
NLD,power,2024-01-02 23:00:00,3.830488654386141e-09
NLD,power,2024-01-03 00:00:00,0.0
NLD,power,2024-01-03 01:00:00,0.0
NLD,power,2024-01-03 02:00:00,0.0
NLD,power,2024-01-03 03:00:00,0.0
NLD,power,2024-01-03 04:00:00,0.0
NLD,power,2024-01-03 05:00:00,0.0
NLD,power,2024-01-03 06:00:00,0.0
NLD,power,2024-01-03 07:00:00,0.015254541181758596
NLD,power,2024-01-03 08:00:00,0.007627279711350789
NLD,power,2024-01-03 09:00:00,0.015254534854167829
NLD,power,2024-01-03 10:00:00,1.1879072355154238e-08
NLD,power,2024-01-03 11:00:00,0.0
NLD,power,2024-01-03 12:00:00,0.0
NLD,power,2024-01-03 13:00:00,0.0
NLD,power,2024-01-03 14:00:00,1.7017091597007574e-09
NLD,power,2024-01-03 15:00:00,0.02288181257310393
NLD,power,2024-01-03 16:00:00,0.049768419403070245
NLD,power,2024-01-03 17:00:00,0.04976841998600856
NLD,power,2024-01-03 18:00:00,0.049768420455438896
NLD,power,2024-01-03 19:00:00,0.04976842055725031
NLD,power,2024-01-03 20:00:00,0.04976842071591526
NLD,power,2024-01-03 21:00:00,0.04976842077010923
NLD,power,2024-01-03 22:00:00,0.049768420304687956
NLD,power,2024-01-03 23:00:00,0.04976841923350972
NLD,power,2024-01-04 00:00:00,0.04976841358486461
NLD,power,2024-01-04 01:00:00,0.0076272767156844
NLD,power,2024-01-04 02:00:00,0.0076272703555801
NLD,power,2024-01-04 03:00:00,0.0076272721764866075
NLD,power,2024-01-04 04:00:00,0.007627271709952458
NLD,power,2024-01-04 05:00:00,0.007627260317352331
NLD,power,2024-01-04 06:00:00,0.0076272342461142124
NLD,power,2024-01-04 07:00:00,0.04976841527993197
NLD,power,2024-01-04 08:00:00,0.04976841768866358
NLD,power,2024-01-04 09:00:00,0.04976841344782796
NLD,power,2024-01-04 10:00:00,3.5230652080983543e-07
NLD,power,2024-01-04 11:00:00,0.007627115328625166
NLD,power,2024-01-04 12:00:00,2.19053403700679e-08
NLD,power,2024-01-04 13:00:00,0.015254521702057891
NLD,power,2024-01-04 14:00:00,0.04976841891794062
NLD,power,2024-01-04 15:00:00,0.04976842066521106
NLD,power,2024-01-04 16:00:00,0.04976842118684322
NLD,power,2024-01-04 17:00:00,0.04976842102816517
NLD,power,2024-01-04 18:00:00,0.04976842117814881
NLD,power,2024-01-04 19:00:00,0.04976842117024873
NLD,power,2024-01-04 20:00:00,0.049768421250828816
NLD,power,2024-01-04 21:00:00,0.04976842115104995
NLD,power,2024-01-04 22:00:00,0.04976842069762756
NLD,power,2024-01-04 23:00:00,0.04976842007112786
NLD,power,2024-01-05 00:00:00,0.049768415743381395
NLD,power,2024-01-05 01:00:00,0.00762728258662682
NLD,power,2024-01-05 02:00:00,0.0152470076508727
NLD,power,2024-01-05 03:00:00,7.5309876175113765e-06
NLD,power,2024-01-05 04:00:00,0.007627246381695396
NLD,power,2024-01-05 05:00:00,0.0
NLD,power,2024-01-05 06:00:00,8.799034656147418e-08
NLD,power,2024-01-05 07:00:00,0.015254459547381943
NLD,power,2024-01-05 08:00:00,0.015254494953556035
NLD,power,2024-01-05 09:00:00,0.0
NLD,power,2024-01-05 10:00:00,0.0
NLD,power,2024-01-05 11:00:00,-1.6732741424808935e-10
NLD,power,2024-01-05 12:00:00,-1.8360824161647839e-10
NLD,power,2024-01-05 13:00:00,-1.7565402339966396e-10
NLD,power,2024-01-05 14:00:00,0.0
NLD,power,2024-01-05 15:00:00,0.0
NLD,power,2024-01-05 16:00:00,0.0
NLD,power,2024-01-05 17:00:00,0.0
NLD,power,2024-01-05 18:00:00,0.007627268247328817
NLD,power,2024-01-05 19:00:00,0.007627271116150065
NLD,power,2024-01-05 20:00:00,0.007627272296731811
NLD,power,2024-01-05 21:00:00,0.007627279434189082
NLD,power,2024-01-05 22:00:00,0.007627253581108692
NLD,power,2024-01-05 23:00:00,0.0
NLD,power,2024-01-06 00:00:00,0.0
NLD,power,2024-01-06 01:00:00,0.0
NLD,power,2024-01-06 02:00:00,0.0
NLD,power,2024-01-06 03:00:00,0.0
NLD,power,2024-01-06 04:00:00,0.0
NLD,power,2024-01-06 05:00:00,0.0
NLD,power,2024-01-06 06:00:00,0.0
NLD,power,2024-01-06 07:00:00,0.0
NLD,power,2024-01-06 08:00:00,0.0
NLD,power,2024-01-06 09:00:00,0.0
NLD,power,2024-01-06 10:00:00,-2.0102222818023864e-10
NLD,power,2024-01-06 11:00:00,-2.4929512407438867e-10
NLD,power,2024-01-06 12:00:00,-2.6730443559398817e-10
NLD,power,2024-01-06 13:00:00,-2.3768967266123877e-10
NLD,power,2024-01-06 14:00:00,-1.9050786421848048e-10
NLD,power,2024-01-06 15:00:00,0.0
NLD,power,2024-01-06 16:00:00,0.0
NLD,power,2024-01-06 17:00:00,0.0
NLD,power,2024-01-06 18:00:00,0.007627361707723044
NLD,power,2024-01-06 19:00:00,0.0076272776117257855
NLD,power,2024-01-06 20:00:00,0.0076272750004422055
NLD,power,2024-01-06 21:00:00,0.007627279365633739
NLD,power,2024-01-06 22:00:00,0.007627278889963786
NLD,power,2024-01-06 23:00:00,0.007627276489965866
NLD,power,2024-01-07 00:00:00,0.007627227826393584
NLD,power,2024-01-07 01:00:00,0.0
NLD,power,2024-01-07 02:00:00,0.0
NLD,power,2024-01-07 03:00:00,0.0
NLD,power,2024-01-07 04:00:00,0.0
NLD,power,2024-01-07 05:00:00,0.0
NLD,power,2024-01-07 06:00:00,0.0
NLD,power,2024-01-07 07:00:00,0.0
NLD,power,2024-01-07 08:00:00,0.0
NLD,power,2024-01-07 09:00:00,0.0
NLD,power,2024-01-07 10:00:00,-1.9562967885720562e-10
NLD,power,2024-01-07 11:00:00,-2.3773750354084595e-10
NLD,power,2024-01-07 12:00:00,-2.5360085043368283e-10
NLD,power,2024-01-07 13:00:00,-2.2798975005922828e-10
NLD,power,2024-01-07 14:00:00,-1.8138728285232866e-10
NLD,power,2024-01-07 15:00:00,0.0
NLD,power,2024-01-07 16:00:00,0.0
NLD,power,2024-01-07 17:00:00,1.225636635812895e-08
NLD,power,2024-01-07 18:00:00,0.022881808187225555
NLD,power,2024-01-07 19:00:00,0.04976840761860455
NLD,power,2024-01-07 20:00:00,0.0497684190231498
NLD,power,2024-01-07 21:00:00,0.049768419456819264
NLD,power,2024-01-07 22:00:00,0.04976841047652899
NLD,power,2024-01-07 23:00:00,7.303219738576382e-07
NLD,power,2024-01-08 00:00:00,0.00762705589866754
NLD,power,2024-01-08 01:00:00,0.007627264789867136
NLD,power,2024-01-08 02:00:00,0.007627257597832559
NLD,power,2024-01-08 03:00:00,0.007627247498869257
NLD,power,2024-01-08 04:00:00,5.53252778620839e-09
NLD,power,2024-01-08 05:00:00,3.3369223093254808e-09
NLD,power,2024-01-08 06:00:00,0.049768378712249116
NLD,power,2024-01-08 07:00:00,0.04976842074536966
NLD,power,2024-01-08 08:00:00,0.049768420531518164
NLD,power,2024-01-08 09:00:00,0.02288181248612898
NLD,power,2024-01-08 10:00:00,0.0
NLD,power,2024-01-08 11:00:00,0.0
NLD,power,2024-01-08 12:00:00,0.0
NLD,power,2024-01-08 13:00:00,0.0
NLD,power,2024-01-08 14:00:00,4.545354335634879e-09
NLD,power,2024-01-08 15:00:00,0.049768420081469464
NLD,power,2024-01-08 16:00:00,0.04976842153047429
NLD,power,2024-01-08 17:00:00,0.0497684214748023
NLD,power,2024-01-08 18:00:00,0.049768421888594594
NLD,power,2024-01-08 19:00:00,0.049768422768764656
NLD,power,2024-01-08 20:00:00,0.049768429222096344
NLD,power,2024-01-08 21:00:00,0.049768429131367586
NLD,power,2024-01-08 22:00:00,0.04976842192901397
NLD,power,2024-01-08 23:00:00,0.04976842116814061
NLD,power,2024-01-09 00:00:00,0.04976842088874163
NLD,power,2024-01-09 01:00:00,0.049768420597229676
NLD,power,2024-01-09 02:00:00,0.04976842038700526
NLD,power,2024-01-09 03:00:00,0.049768420343780886
NLD,power,2024-01-09 04:00:00,0.0497684204167599
NLD,power,2024-01-09 05:00:00,0.049768420460264196
NLD,power,2024-01-09 06:00:00,0.04976842089832594
NLD,power,2024-01-09 07:00:00,0.04976842174615973
NLD,power,2024-01-09 08:00:00,0.049768421568981626
NLD,power,2024-01-09 09:00:00,0.04976842105255177
NLD,power,2024-01-09 10:00:00,0.04976842059530504
NLD,power,2024-01-09 11:00:00,0.04976842020730976
NLD,power,2024-01-09 12:00:00,0.04976842040760849
NLD,power,2024-01-09 13:00:00,0.04976842092946785
NLD,power,2024-01-09 14:00:00,0.049768421397206886
NLD,power,2024-01-09 15:00:00,0.04976842231974623
NLD,power,2024-01-09 16:00:00,0.04976842655278658
NLD,power,2024-01-09 17:00:00,0.04976844360138866
NLD,power,2024-01-09 18:00:00,0.25
NLD,power,2024-01-09 19:00:00,0.25
NLD,power,2024-01-09 20:00:00,0.25
NLD,power,2024-01-09 21:00:00,0.25
NLD,power,2024-01-09 22:00:00,0.049768422162145734
NLD,power,2024-01-09 23:00:00,0.04976842121895501
NLD,power,2024-01-10 00:00:00,0.04976842098701148
NLD,power,2024-01-10 01:00:00,0.049768420657570756
NLD,power,2024-01-10 02:00:00,0.049768420285501984
NLD,power,2024-01-10 03:00:00,0.049768420079031934
NLD,power,2024-01-10 04:00:00,0.04976842000809515
NLD,power,2024-01-10 05:00:00,0.04976842017520665
NLD,power,2024-01-10 06:00:00,0.04976842069190868
NLD,power,2024-01-10 07:00:00,0.04976842149249403
NLD,power,2024-01-10 08:00:00,0.04976842170204892
NLD,power,2024-01-10 09:00:00,0.04976842134996406
NLD,power,2024-01-10 10:00:00,0.04976842090350974
NLD,power,2024-01-10 11:00:00,0.049768420584016045
