nodes,techs,timesteps,source_use
NLD,ccgt,2024-01-01 00:00:00,0.00022053996443517317
NLD,ccgt,2024-01-01 01:00:00,0.0002205395750547106
NLD,ccgt,2024-01-01 02:00:00,0.00022053561348652696
NLD,ccgt,2024-01-01 03:00:00,0.00022053421922625928
NLD,ccgt,2024-01-01 04:00:00,0.00022053441781449336
NLD,ccgt,2024-01-01 05:00:00,0.0002205345553121029
NLD,ccgt,2024-01-01 06:00:00,0.00022053501974266806
NLD,ccgt,2024-01-01 07:00:00,0.00022056432965753114
NLD,ccgt,2024-01-01 08:00:00,0.00022051519228403297
NLD,ccgt,2024-01-01 09:00:00,0.00018673691197814015
NLD,ccgt,2024-01-01 10:00:00,0.00018673695517419726
NLD,ccgt,2024-01-01 11:00:00,0.0001867369585016069
NLD,ccgt,2024-01-01 12:00:00,0.00018673682016301558
NLD,ccgt,2024-01-01 13:00:00,0.0001867368216411552
NLD,ccgt,2024-01-01 14:00:00,0.00018673695493877094
NLD,ccgt,2024-01-01 15:00:00,0.00018673690740859855
NLD,ccgt,2024-01-01 16:00:00,0.00022054088350581636
NLD,ccgt,2024-01-01 17:00:00,0.00022054055026072547
NLD,ccgt,2024-01-01 18:00:00,0.0002205367799150548
NLD,ccgt,2024-01-01 19:00:00,0.0002205339476178291
NLD,ccgt,2024-01-01 20:00:00,0.00022053671745901423
NLD,ccgt,2024-01-01 21:00:00,0.00022058055195077063
NLD,ccgt,2024-01-01 22:00:00,0.0002692305568994069
NLD,ccgt,2024-01-01 23:00:00,0.00018673690258726029
NLD,ccgt,2024-01-02 00:00:00,0.0001867369516394943
NLD,ccgt,2024-01-02 01:00:00,0.00018673696293363974
NLD,ccgt,2024-01-02 02:00:00,0.00018673696227039104
NLD,ccgt,2024-01-02 03:00:00,0.00018673696193421683
NLD,ccgt,2024-01-02 04:00:00,0.00018673696185078273
NLD,ccgt,2024-01-02 05:00:00,0.00018673696182946694
NLD,ccgt,2024-01-02 06:00:00,0.00018673696182366017
NLD,ccgt,2024-01-02 07:00:00,0.00018673696182246413
NLD,ccgt,2024-01-02 08:00:00,0.00018673696182379407
NLD,ccgt,2024-01-02 09:00:00,0.000186736961829613
NLD,ccgt,2024-01-02 10:00:00,0.00018673696184980885
NLD,ccgt,2024-01-02 11:00:00,0.00018673696192484933
NLD,ccgt,2024-01-02 12:00:00,0.00018673696222071707
NLD,ccgt,2024-01-02 13:00:00,0.0001867369630571155
NLD,ccgt,2024-01-02 14:00:00,0.00018673695530127337
NLD,ccgt,2024-01-02 15:00:00,0.00018673691747047555
NLD,ccgt,2024-01-02 16:00:00,0.0002205082004399227
NLD,ccgt,2024-01-02 17:00:00,0.00017257890645857194
NLD,ccgt,2024-01-02 18:00:00,0.0004560022792862084
NLD,ccgt,2024-01-02 19:00:00,0.00022054350240645364
NLD,ccgt,2024-01-02 20:00:00,0.0002205511694561851
NLD,ccgt,2024-01-02 21:00:00,0.00048236812853146385
NLD,ccgt,2024-01-02 22:00:00,0.00018674205168328558
NLD,ccgt,2024-01-02 23:00:00,0.00018673876813960006
NLD,ccgt,2024-01-03 00:00:00,0.00018673691176798905
NLD,ccgt,2024-01-03 01:00:00,0.0001867369542393213
NLD,ccgt,2024-01-03 02:00:00,0.0001867369632309196
NLD,ccgt,2024-01-03 03:00:00,0.00018673696269107365
NLD,ccgt,2024-01-03 04:00:00,0.000186736963022138
NLD,ccgt,2024-01-03 05:00:00,0.00018673695132370764
NLD,ccgt,2024-01-03 06:00:00,0.0001867369013882316
NLD,ccgt,2024-01-03 07:00:00,0.0002692665620519822
NLD,ccgt,2024-01-03 08:00:00,0.0002205461005257002
NLD,ccgt,2024-01-03 09:00:00,0.00026926140390878963
NLD,ccgt,2024-01-03 10:00:00,0.0001867412013754345
NLD,ccgt,2024-01-03 11:00:00,0.00018673691475388032
NLD,ccgt,2024-01-03 12:00:00,0.0001867369333385816
